"subj_idx","response","rt","dist","dist_newold"
112,1,3.83021246999851,1,"new1"
112,1,2.194082127,2,"old2"
112,1,4.34314906600048,3,"new3"
112,0,2.68196366200209,3,"new3"
112,1,3.77684447600041,2,"old2"
112,0,NA,2,"old2"
112,1,4.05723678499999,2,"old2"
112,1,3.51729217500178,1,"new1"
112,1,3.56817372799924,2,"new2"
112,0,NA,1,"new1"
112,1,2.84781375599778,3,"new3"
112,0,3.13269718399897,3,"new3"
112,1,0.364876709001692,2,"new2"
112,1,3.67155952400208,2,"old2"
112,0,3.20187147199977,2,"old2"
112,0,NA,2,"new2"
112,1,1.8321996300001,0,"new0"
112,0,3.33626039799856,3,"new3"
112,0,1.037032764998,3,"new3"
112,1,1.71231817499938,1,"new1"
112,0,2.06783006800106,3,"new3"
112,1,2.12914083700161,1,"new1"
112,1,4.95686442200167,2,"new2"
112,0,NA,1,"new1"
